,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
0,0,/players/a/abdelal01.html,Alaa Abdelnaby,1991,1995,F-C,Duke,6-10,240.0,"June 24, 1968",0.502,256.0,5.7,0.701,2.4,4.8,0.9,1.3,0.0,0.0,0.0,0.502,0.599,134.0,8.5,0.728,3.3,5.6,1.8,2.5,0.0,0.0,
1,1,/players/a/abdulza01.html,Zaid Abdul-Aziz,1969,1978,C-F,Iowa State,6-9,235.0,"April 7, 1946",0.428,505.0,9.0,0.728,3.5,8.2,2.0,2.8,,,,,0.465,75.0,22.3,0.645,7.8,16.8,6.7,10.4,,,
2,2,/players/a/abdulka01.html,Kareem Abdul-Jabbar,1970,1989,C,UCLA,7-2,225.0,"April 16, 1947",0.559,1560.0,24.6,0.721,10.2,18.1,4.3,6.0,0.0,0.0,0.056,0.559,0.639,88.0,26.4,0.628,10.7,16.8,5.0,7.9,,,
3,3,/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,LSU,6-1,162.0,"March 9, 1969",0.442,586.0,14.6,0.905,6.0,13.6,1.8,2.0,0.8,2.3,0.354,0.472,0.474,64.0,29.0,0.863,10.4,21.9,5.5,6.4,2.7,7.2,0.372
4,4,/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,"Michigan, San Jose State",6-6,223.0,"November 3, 1974",0.417,236.0,7.8,0.703,3.1,7.3,1.6,2.2,0.1,0.3,0.237,0.422,0.477,87.0,13.6,0.726,4.9,10.4,3.2,4.4,0.6,1.7,0.322
5,5,/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,California,6-9,225.0,"December 11, 1976",0.472,830.0,18.1,0.81,6.5,13.9,4.8,6.0,0.2,0.6,0.297,0.479,0.518,28.0,21.1,0.683,7.4,14.2,6.1,8.9,0.3,0.8,0.381
6,6,/players/a/abernto01.html,Tom Abernethy,1977,1981,F,Indiana,6-7,220.0,"May 6, 1954",0.492,319.0,5.6,0.747,2.3,4.6,1.0,1.4,0.0,0.0,0.0,0.492,0.533,110.0,5.9,0.689,2.4,4.5,1.1,1.7,,,
7,7,/players/a/ablefo01.html,Forest Able,1957,1957,G,Western Kentucky,6-3,180.0,"July 27, 1932",0.0,1.0,0.0,,0.0,2.0,0.0,0.0,,,,,0.358,108.0,12.7,0.751,5.1,14.3,2.3,3.1,,,
8,8,/players/a/abramjo01.html,John Abramovic,1947,1948,F,Salem International University,6-3,195.0,"February 9, 1919",0.237,56.0,9.5,0.686,3.6,15.3,2.3,3.3,,,,,,,,,,,,,,,
10,10,/players/a/achiupr01.html,Precious Achiuwa,2021,2022,F,Memphis,6-8,225.0,"September 19, 1999",0.489,70.0,5.4,0.516,2.2,4.5,0.9,1.8,0.0,0.2,0.167,0.492,0.493,31.0,15.8,0.599,5.9,11.9,3.6,6.0,0.4,1.3,0.325
11,11,/players/a/ackeral01.html,Alex Acker,2006,2009,G,Pepperdine,6-5,185.0,"January 21, 1983",0.37,30.0,2.7,0.5,1.1,3.1,0.2,0.3,0.3,0.8,0.32,0.413,0.457,88.0,14.5,0.823,5.1,11.2,2.9,3.5,1.4,3.3,0.411
12,12,/players/a/ackerdo01.html,Don Ackerman,1954,1954,G,Long Island University,6-0,183.0,"September 4, 1930",0.222,28.0,1.5,0.536,0.5,2.3,0.5,1.0,,,,,,,,,,,,,,,
13,13,/players/a/acresma01.html,Mark Acres,1988,1993,F-C,Oral Roberts,6-11,220.0,"November 15, 1962",0.506,375.0,3.6,0.665,1.4,2.7,0.8,1.2,0.0,0.0,0.538,0.509,0.564,110.0,18.5,0.696,7.3,12.9,4.0,5.7,,,
14,14,/players/a/actonbu01.html,Bud Acton,1968,1968,F,Hillsdale College,6-6,210.0,"January 11, 1942",0.392,23.0,3.3,0.655,1.3,3.2,0.8,1.3,,,,,,,,,,,,,,,
15,15,/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,Baylor,6-7,240.0,"October 6, 1990",0.444,337.0,4.9,0.759,1.7,3.9,0.9,1.1,0.5,1.6,0.35,0.513,0.602,139.0,9.8,0.708,3.6,6.0,2.5,3.6,0.0,0.1,0.429
16,16,/players/a/adamsal01.html,Alvan Adams,1976,1988,C-F,Oklahoma,6-9,210.0,"July 19, 1954",0.498,988.0,14.1,0.788,5.8,11.6,2.5,3.2,0.0,0.0,0.133,0.498,0.539,73.0,23.4,0.702,9.7,18.0,3.9,5.6,,,
17,17,/players/a/adamsdo01.html,Don Adams,1971,1977,F,Northwestern,6-6,210.0,"November 27, 1947",0.402,523.0,8.8,0.741,3.5,8.7,1.8,2.5,0.0,0.1,0.0,0.402,0.421,71.0,15.0,0.719,5.8,13.8,3.4,4.7,,,
18,18,/players/a/adamsge01.html,George Adams,1973,1975,F-G,Gardner-Webb University,6-5,210.0,"May 15, 1949",0.497,215.0,7.7,0.794,3.3,6.7,1.0,1.3,0.0,0.1,0.235,0.499,,,,,,,,,,,
19,19,/players/a/adamsha01.html,Hassan Adams,2007,2009,G,Arizona,6-4,220.0,"June 20, 1984",0.534,73.0,2.5,0.643,1.1,2.0,0.4,0.6,0.0,0.0,0.0,0.534,0.499,130.0,14.0,0.704,5.8,11.6,1.9,2.7,0.6,1.9,0.311
20,20,/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,St. Bonaventure,6-0,225.0,"May 4, 1996",0.331,41.0,2.7,0.778,1.0,2.9,0.2,0.2,0.6,1.9,0.329,0.436,0.427,110.0,17.4,0.838,4.8,11.3,5.3,6.3,2.5,6.2,0.394
21,21,/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,UCLA,6-5,209.0,"July 8, 1994",0.402,32.0,3.2,0.607,1.2,2.9,0.5,0.9,0.3,0.8,0.385,0.457,0.467,69.0,16.4,0.839,5.4,11.6,4.2,5.0,1.4,4.3,0.331
22,22,/players/a/adamsmi01.html,Michael Adams,1986,1996,G,Boston College,5-10,162.0,"January 19, 1963",0.415,653.0,14.7,0.849,5.0,12.0,3.3,3.9,1.5,4.4,0.332,0.475,0.47,119.0,13.9,0.75,5.3,11.3,3.2,4.3,,,
23,23,/players/a/adamsst01.html,Steven Adams,2014,2022,C,Pitt,6-11,265.0,"July 20, 1993",0.59,596.0,9.6,0.552,4.0,6.8,1.6,2.9,0.0,0.0,0.077,0.59,0.571,32.0,7.2,0.443,3.1,5.5,1.0,2.2,0.0,0.0,
24,24,/players/a/addisra01.html,Rafael Addison,1987,1997,F-G,Syracuse,6-7,215.0,"July 22, 1964",0.449,379.0,5.8,0.772,2.4,5.4,0.7,0.9,0.2,0.6,0.282,0.466,0.534,126.0,14.9,0.763,6.2,11.6,2.5,3.3,,,
25,25,/players/a/adebaba01.html,Bam Adebayo,2018,2022,C-F,Kentucky,6-9,255.0,"July 18, 1997",0.557,293.0,12.5,0.742,4.8,8.5,3.0,4.0,0.0,0.2,0.159,0.559,0.599,38.0,13.0,0.653,4.5,7.5,4.1,6.2,0.0,0.0,
26,26,/players/a/adelde01.html,Deng Adel,2019,2019,F,Louisville,6-7,200.0,"February 1, 1997",0.306,19.0,1.7,1.0,0.6,1.9,0.2,0.2,0.3,1.2,0.261,0.389,0.438,89.0,11.2,0.776,3.9,9.0,2.2,2.9,1.1,3.3,0.348
27,27,/players/a/adelmri01.html,Rick Adelman,1969,1975,G,Loyola Marymount,6-1,175.0,"June 16, 1946",0.415,462.0,7.7,0.713,3.0,7.2,1.8,2.5,,,,,0.417,76.0,18.6,0.809,6.3,15.1,6.2,7.7,,,
