,player_name,height,weight,birth_date,active_from,active_to,position,college,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,updated_birth_date
0,Alaa Abdelnaby,82,240.0,"June 24, 1968",1991,1995,F-C,Duke,0.502,256.0,5.7,0.701,2.4,4.8,0.9,1.3,0.0,0.0,0.0,0.502,0.599,134.0,8.5,0.728,3.3,5.6,1.8,2.5,0.0,0.0,,1968-06-24
1,Zaid Abdul-Aziz,81,235.0,"April 7, 1946",1969,1978,C-F,Iowa State,0.428,505.0,9.0,0.728,3.5,8.2,2.0,2.8,,,,,0.465,75.0,22.3,0.645,7.8,16.8,6.7,10.4,,,,1946-04-07
2,Kareem Abdul-Jabbar,86,225.0,"April 16, 1947",1970,1989,C,UCLA,0.559,1560.0,24.6,0.721,10.2,18.1,4.3,6.0,0.0,0.0,0.056,0.559,0.639,88.0,26.4,0.628,10.7,16.8,5.0,7.9,,,,1947-04-16
3,Mahmoud Abdul-Rauf,73,162.0,"March 9, 1969",1991,2001,G,LSU,0.442,586.0,14.6,0.905,6.0,13.6,1.8,2.0,0.8,2.3,0.354,0.472,0.474,64.0,29.0,0.863,10.4,21.9,5.5,6.4,2.7,7.2,0.372,1969-03-09
4,Tariq Abdul-Wahad,78,223.0,"November 3, 1974",1998,2003,F,"Michigan, San Jose State",0.417,236.0,7.8,0.703,3.1,7.3,1.6,2.2,0.1,0.3,0.237,0.422,0.477,87.0,13.6,0.726,4.9,10.4,3.2,4.4,0.6,1.7,0.322,1974-11-03
5,Shareef Abdur-Rahim,81,225.0,"December 11, 1976",1997,2008,F,California,0.472,830.0,18.1,0.81,6.5,13.9,4.8,6.0,0.2,0.6,0.297,0.479,0.518,28.0,21.1,0.683,7.4,14.2,6.1,8.9,0.3,0.8,0.381,1976-12-11
6,Tom Abernethy,79,220.0,"May 6, 1954",1977,1981,F,Indiana,0.492,319.0,5.6,0.747,2.3,4.6,1.0,1.4,0.0,0.0,0.0,0.492,0.533,110.0,5.9,0.689,2.4,4.5,1.1,1.7,,,,1954-05-06
7,Forest Able,75,180.0,"July 27, 1932",1957,1957,G,Western Kentucky,0.0,1.0,0.0,,0.0,2.0,0.0,0.0,,,,,0.358,108.0,12.7,0.751,5.1,14.3,2.3,3.1,,,,1932-07-27
8,John Abramovic,75,195.0,"February 9, 1919",1947,1948,F,Salem International University,0.237,56.0,9.5,0.686,3.6,15.3,2.3,3.3,,,,,,,,,,,,,,,,1919-02-09
9,Álex Abrines,78,200.0,"August 1, 1993",2017,2019,G-F,nan,0.387,174.0,5.3,0.88,1.8,4.5,0.5,0.6,1.3,3.4,0.368,0.525,,,,,,,,,,,,1993-08-01
10,Precious Achiuwa,80,225.0,"September 19, 1999",2021,2022,F,Memphis,0.489,70.0,5.4,0.516,2.2,4.5,0.9,1.8,0.0,0.2,0.167,0.492,0.493,31.0,15.8,0.599,5.9,11.9,3.6,6.0,0.4,1.3,0.325,1999-09-19
11,Alex Acker,77,185.0,"January 21, 1983",2006,2009,G,Pepperdine,0.37,30.0,2.7,0.5,1.1,3.1,0.2,0.3,0.3,0.8,0.32,0.413,0.457,88.0,14.5,0.823,5.1,11.2,2.9,3.5,1.4,3.3,0.411,1983-01-21
12,Don Ackerman,72,183.0,"September 4, 1930",1954,1954,G,Long Island University,0.222,28.0,1.5,0.536,0.5,2.3,0.5,1.0,,,,,,,,,,,,,,,,1930-09-04
13,Mark Acres,83,220.0,"November 15, 1962",1988,1993,F-C,Oral Roberts,0.506,375.0,3.6,0.665,1.4,2.7,0.8,1.2,0.0,0.0,0.538,0.509,0.564,110.0,18.5,0.696,7.3,12.9,4.0,5.7,,,,1962-11-15
14,Bud Acton,78,210.0,"January 11, 1942",1968,1968,F,Hillsdale College,0.392,23.0,3.3,0.655,1.3,3.2,0.8,1.3,,,,,,,,,,,,,,,,1942-01-11
15,Quincy Acy,79,240.0,"October 6, 1990",2013,2019,F-C,Baylor,0.444,337.0,4.9,0.759,1.7,3.9,0.9,1.1,0.5,1.6,0.35,0.513,0.602,139.0,9.8,0.708,3.6,6.0,2.5,3.6,0.0,0.1,0.429,1990-10-06
16,Alvan Adams,81,210.0,"July 19, 1954",1976,1988,C-F,Oklahoma,0.498,988.0,14.1,0.788,5.8,11.6,2.5,3.2,0.0,0.0,0.133,0.498,0.539,73.0,23.4,0.702,9.7,18.0,3.9,5.6,,,,1954-07-19
17,Don Adams,78,210.0,"November 27, 1947",1971,1977,F,Northwestern,0.402,523.0,8.8,0.741,3.5,8.7,1.8,2.5,0.0,0.1,0.0,0.402,0.421,71.0,15.0,0.719,5.8,13.8,3.4,4.7,,,,1947-11-27
18,George Adams,77,210.0,"May 15, 1949",1973,1975,F-G,Gardner-Webb University,0.497,215.0,7.7,0.794,3.3,6.7,1.0,1.3,0.0,0.1,0.235,0.499,,,,,,,,,,,,1949-05-15
19,Hassan Adams,76,220.0,"June 20, 1984",2007,2009,G,Arizona,0.534,73.0,2.5,0.643,1.1,2.0,0.4,0.6,0.0,0.0,0.0,0.534,0.499,130.0,14.0,0.704,5.8,11.6,1.9,2.7,0.6,1.9,0.311,1984-06-20
20,Jaylen Adams,72,225.0,"May 4, 1996",2019,2021,G,St. Bonaventure,0.331,41.0,2.7,0.778,1.0,2.9,0.2,0.2,0.6,1.9,0.329,0.436,0.427,110.0,17.4,0.838,4.8,11.3,5.3,6.3,2.5,6.2,0.394,1996-05-04
21,Jordan Adams,77,209.0,"July 8, 1994",2015,2016,G,UCLA,0.402,32.0,3.2,0.607,1.2,2.9,0.5,0.9,0.3,0.8,0.385,0.457,0.467,69.0,16.4,0.839,5.4,11.6,4.2,5.0,1.4,4.3,0.331,1994-07-08
22,Michael Adams,70,162.0,"January 19, 1963",1986,1996,G,Boston College,0.415,653.0,14.7,0.849,5.0,12.0,3.3,3.9,1.5,4.4,0.332,0.475,0.47,119.0,13.9,0.75,5.3,11.3,3.2,4.3,,,,1963-01-19
23,Steven Adams,83,265.0,"July 20, 1993",2014,2022,C,Pitt,0.59,596.0,9.6,0.552,4.0,6.8,1.6,2.9,0.0,0.0,0.077,0.59,0.571,32.0,7.2,0.443,3.1,5.5,1.0,2.2,0.0,0.0,,1993-07-20
24,Rafael Addison,79,215.0,"July 22, 1964",1987,1997,F-G,Syracuse,0.449,379.0,5.8,0.772,2.4,5.4,0.7,0.9,0.2,0.6,0.282,0.466,0.534,126.0,14.9,0.763,6.2,11.6,2.5,3.3,,,,1964-07-22
25,Bam Adebayo,81,255.0,"July 18, 1997",2018,2022,C-F,Kentucky,0.557,293.0,12.5,0.742,4.8,8.5,3.0,4.0,0.0,0.2,0.159,0.559,0.599,38.0,13.0,0.653,4.5,7.5,4.1,6.2,0.0,0.0,,1997-07-18
26,Deng Adel,79,200.0,"February 1, 1997",2019,2019,F,Louisville,0.306,19.0,1.7,1.0,0.6,1.9,0.2,0.2,0.3,1.2,0.261,0.389,0.438,89.0,11.2,0.776,3.9,9.0,2.2,2.9,1.1,3.3,0.348,1997-02-01
27,Rick Adelman,73,175.0,"June 16, 1946",1969,1975,G,Loyola Marymount,0.415,462.0,7.7,0.713,3.0,7.2,1.8,2.5,,,,,0.417,76.0,18.6,0.809,6.3,15.1,6.2,7.7,,,,1946-06-16
28,Jeff Adrien,79,245.0,"February 10, 1986",2011,2015,F,UConn,0.474,153.0,4.6,0.628,1.7,3.6,1.2,1.9,0.0,0.0,0.0,0.474,0.515,133.0,12.1,0.606,4.5,8.8,3.0,4.9,0.0,0.0,0.333,1986-02-10
29,Arron Afflalo,77,210.0,"October 15, 1985",2008,2018,G-F,UCLA,0.45,762.0,10.8,0.825,3.9,8.7,1.8,2.2,1.1,2.9,0.386,0.514,0.457,104.0,14.8,0.781,5.0,10.9,2.8,3.6,2.0,5.4,0.373,1985-10-15
30,Maurice Ager,77,202.0,"February 9, 1984",2007,2011,G,Michigan State,0.339,82.0,2.1,0.566,0.8,2.3,0.4,0.6,0.1,0.5,0.25,0.368,0.441,124.0,12.5,0.775,4.2,9.6,2.5,3.2,1.6,4.3,0.38,1984-02-09
31,Mark Aguirre,78,232.0,"December 10, 1959",1982,1994,F-G,DePaul,0.484,923.0,20.0,0.741,7.8,16.1,4.0,5.4,0.4,1.4,0.312,0.498,0.546,89.0,24.5,0.768,9.7,17.8,5.1,6.7,,,,1959-12-10
32,Blake Ahearn,74,190.0,"May 27, 1984",2008,2012,G,Missouri State,0.273,19.0,4.6,0.97,1.1,4.1,1.7,1.7,0.7,2.5,0.298,0.364,0.423,129.0,13.0,0.946,3.7,8.9,3.4,3.6,2.1,5.2,0.408,1984-05-27
33,Danny Ainge,76,175.0,"March 17, 1959",1982,1995,G,BYU,0.469,1042.0,11.5,0.846,4.5,9.5,1.6,1.9,1.0,2.5,0.378,0.519,0.526,118.0,20.9,0.816,8.4,15.9,4.2,5.1,,,,1959-03-17
